City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Poum,-20.2333,164.0167,76.28,71,1,15.7,NC,2022-10-12 23:17:35
68,Nome,64.5011,-165.4064,35.67,69,100,5.75,US,2022-10-12 23:17:36
69,Leningradskiy,69.3833,178.4167,17.83,76,43,7.29,RU,2022-10-12 23:17:36
70,Carutapera,-1.195,-46.02,79.57,80,100,8.63,BR,2022-10-12 23:17:36
71,Hilo,19.7297,-155.09,89.28,67,20,11.5,US,2022-10-12 23:17:37
72,Methoni,36.8197,21.7049,67.21,75,2,3.11,GR,2022-10-12 23:17:37
73,Jamestown,42.097,-79.2353,67.59,57,100,8.05,US,2022-10-12 23:15:25
74,Sibolga,1.7427,98.7792,74.95,84,100,3.09,ID,2022-10-12 23:17:38
75,Baglan,36.1307,68.7083,57.49,21,0,1.86,AF,2022-10-12 23:17:38
76,Dhankuta,26.9833,87.3333,59.31,91,8,5.39,NP,2022-10-12 23:17:38
77,Planeta Rica,8.4147,-75.5883,77.18,92,100,9.24,CO,2022-10-12 23:17:39
78,Ishigaki,24.3448,124.1572,78.93,78,75,21.85,JP,2022-10-12 23:17:39
79,Chuy,-33.6971,-53.4616,57.74,71,0,7.11,UY,2022-10-12 23:17:39
80,Santarem,-2.4431,-54.7083,83.61,58,73,2.19,BR,2022-10-12 23:17:40
81,Hellvik,59.9156,5.781,51.01,83,100,9.71,NO,2022-10-12 23:17:40
82,Wanning,18.8003,110.3967,69.31,76,79,10.56,CN,2022-10-12 23:17:40
83,Barrow,71.2906,-156.7887,30.22,69,75,16.11,US,2022-10-12 23:17:41
84,Axim,4.8699,-2.2405,76.57,88,24,6.67,GH,2022-10-12 23:17:41
85,Hamilton,39.1834,-84.5333,75.43,67,75,11.5,US,2022-10-12 23:13:49
86,Saint-Louis,16.3333,-15.0,90.95,40,100,10.92,SN,2022-10-12 23:17:42
87,Mon,26.75,95.1,66.38,99,86,2.01,IN,2022-10-12 23:17:42
88,Puerto Escondido,15.85,-97.0667,83.23,54,75,5.75,MX,2022-10-12 23:17:42
89,Pangnirtung,66.1451,-65.7125,16.5,75,3,4.18,CA,2022-10-12 23:17:43
90,Kununurra,-15.7667,128.7333,82.38,83,30,2.3,AU,2022-10-12 23:17:43
91,Kathu,7.9178,98.3332,84.74,84,88,7.38,TH,2022-10-12 23:17:43
92,Khunti,23.0833,85.2833,71.71,93,95,4.52,IN,2022-10-12 23:17:44
93,Kapaa,22.0752,-159.319,85.98,90,100,9.22,US,2022-10-12 23:17:45
94,Butaritari,3.0707,172.7902,82.13,77,49,22.66,KI,2022-10-12 23:17:45
95,Banjar,-8.19,114.9675,77.54,85,87,6.89,ID,2022-10-12 23:17:46
96,Westport,41.1415,-73.3579,62.91,76,0,8.99,US,2022-10-12 23:15:56
97,Ribeira Grande,38.5167,-28.7,71.78,81,8,3.0,PT,2022-10-12 23:17:46
98,Cabo San Lucas,22.8909,-109.9124,88.61,58,0,10.36,MX,2022-10-12 23:17:17
99,Saint Anthony,45.0205,-93.218,47.8,73,75,21.85,US,2022-10-12 23:17:47
100,Bambous Virieux,-20.3428,57.7575,71.22,83,75,10.36,MU,2022-10-12 23:17:47
101,Upernavik,72.7868,-56.1549,13.35,79,2,6.44,GL,2022-10-12 23:17:47
102,Tailai,46.3833,123.4,44.64,43,2,7.18,CN,2022-10-12 23:17:48
103,Gondanglegi,-7.7479,112.0132,75.97,86,23,13.56,ID,2022-10-12 23:17:48
104,Saint-Raymond,45.467,-73.6095,64.26,58,100,12.66,CA,2022-10-12 23:17:49
105,Agirish,61.9247,63.0231,36.46,95,88,6.06,RU,2022-10-12 23:17:49
106,Hobart,-42.8794,147.3294,61.27,83,100,21.85,AU,2022-10-12 23:13:00
107,San Quintin,30.4833,-115.95,71.42,72,0,12.93,MX,2022-10-12 23:17:49
